"BP1_1","delitos_cometidos","Año","mes","fecha_num","fecha_letra"
"01",1900578,"2012","Enero","01/2012","Enero 2012"
"02",2595733,"2012","Febrero","02/2012","Febrero 2012"
"03",2662186,"2012","Marzo","03/2012","Marzo 2012"
"04",1891696,"2012","Abril","04/2012","Abril 2012"
"05",2416640,"2012","Mayo","05/2012","Mayo 2012"
"06",2642589,"2012","Junio","06/2012","Junio 2012"
"07",2240921,"2012","Julio","07/2012","Julio 2012"
"08",2613253,"2012","Agosto","08/2012","Agosto 2012"
"09",2204692,"2012","Septiembre","09/2012","Septiembre 2012"
"10",2312757,"2012","Octubre","10/2012","Octubre 2012"
"11",3252110,"2012","Noviembre","11/2012","Noviembre 2012"
"12",3853923,"2012","Diciembre","12/2012","Diciembre 2012"
"01",2386909,"2013","Enero","01/2013","Enero 2013"
"02",2886517,"2013","Febrero","02/2013","Febrero 2013"
"03",3059545,"2013","Marzo","03/2013","Marzo 2013"
"04",2235361,"2013","Abril","04/2013","Abril 2013"
"05",2870411,"2013","Mayo","05/2013","Mayo 2013"
"06",3330756,"2013","Junio","06/2013","Junio 2013"
"07",2372528,"2013","Julio","07/2013","Julio 2013"
"08",2979576,"2013","Agosto","08/2013","Agosto 2013"
"09",2865489,"2013","Septiembre","09/2013","Septiembre 2013"
"10",3028699,"2013","Octubre","10/2013","Octubre 2013"
"11",3848295,"2013","Noviembre","11/2013","Noviembre 2013"
"12",4584589,"2013","Diciembre","12/2013","Diciembre 2013"
"01",2292100,"2014","Enero","01/2014","Enero 2014"
"02",3081231,"2014","Febrero","02/2014","Febrero 2014"
"03",3293042,"2014","Marzo","03/2014","Marzo 2014"
"04",2269956,"2014","Abril","04/2014","Abril 2014"
"05",3060267,"2014","Mayo","05/2014","Mayo 2014"
"06",3270875,"2014","Junio","06/2014","Junio 2014"
"07",2453790,"2014","Julio","07/2014","Julio 2014"
"08",3014002,"2014","Agosto","08/2014","Agosto 2014"
"09",2682240,"2014","Septiembre","09/2014","Septiembre 2014"
"10",2615913,"2014","Octubre","10/2014","Octubre 2014"
"11",3854426,"2014","Noviembre","11/2014","Noviembre 2014"
"12",4741254,"2014","Diciembre","12/2014","Diciembre 2014"
"01",1896804,"2015","Enero","01/2015","Enero 2015"
"02",2523387,"2015","Febrero","02/2015","Febrero 2015"
"03",2427545,"2015","Marzo","03/2015","Marzo 2015"
"04",1910385,"2015","Abril","04/2015","Abril 2015"
"05",2596897,"2015","Mayo","05/2015","Mayo 2015"
"06",2986831,"2015","Junio","06/2015","Junio 2015"
"07",2038857,"2015","Julio","07/2015","Julio 2015"
"08",2254645,"2015","Agosto","08/2015","Agosto 2015"
"09",2506843,"2015","Septiembre","09/2015","Septiembre 2015"
"10",2451868,"2015","Octubre","10/2015","Octubre 2015"
"11",3596627,"2015","Noviembre","11/2015","Noviembre 2015"
"12",4102388,"2015","Diciembre","12/2015","Diciembre 2015"
"01",2007182,"2016","Enero","01/2016","Enero 2016"
"02",2467860,"2016","Febrero","02/2016","Febrero 2016"
"03",2590173,"2016","Marzo","03/2016","Marzo 2016"
"04",1897141,"2016","Abril","04/2016","Abril 2016"
"05",2606136,"2016","Mayo","05/2016","Mayo 2016"
"06",3052136,"2016","Junio","06/2016","Junio 2016"
"07",2234930,"2016","Julio","07/2016","Julio 2016"
"08",2345073,"2016","Agosto","08/2016","Agosto 2016"
"09",2559188,"2016","Septiembre","09/2016","Septiembre 2016"
"10",2674830,"2016","Octubre","10/2016","Octubre 2016"
