Fecha,Total
27/02/2020,4
28/02/2020,2
29/02/2020,2
01/03/2020,2
02/03/2020,5
03/03/2020,9
04/03/2020,10
05/03/2020,11
06/03/2020,6
07/03/2020,7
08/03/2020,8
09/03/2020,5
10/03/2020,17
11/03/2020,39
12/03/2020,41
13/03/2020,66
14/03/2020,52
15/03/2020,37
16/03/2020,77
17/03/2020,104
18/03/2020,116
19/03/2020,151
20/03/2020,132
21/03/2020,85
22/03/2020,70
23/03/2020,168
24/03/2020,220
25/03/2020,185
26/03/2020,224
27/03/2020,262
28/03/2020,191
29/03/2020,166
30/03/2020,345
31/03/2020,311
01/04/2020,382
02/04/2020,347
03/04/2020,392
04/04/2020,250
05/04/2020,259
06/04/2020,631
07/04/2020,515
08/04/2020,581
09/04/2020,483
10/04/2020,572
11/04/2020,464
12/04/2020,479
13/04/2020,953
14/04/2020,936
15/04/2020,985
16/04/2020,996
17/04/2020,1145
18/04/2020,815
19/04/2020,794
20/04/2020,1521
21/04/2020,1471
22/04/2020,1423
23/04/2020,1506
24/04/2020,1734
25/04/2020,1164
26/04/2020,1117
27/04/2020,1942
28/04/2020,1961
29/04/2020,1948
30/04/2020,1884
01/05/2020,1555
02/05/2020,1493
03/05/2020,1377
04/05/2020,2642
05/05/2020,2234
06/05/2020,2389
07/05/2020,2531
08/05/2020,2530
09/05/2020,1657
10/05/2020,1552
11/05/2020,3118
12/05/2020,3070
13/05/2020,3230
14/05/2020,3217
15/05/2020,3694
16/05/2020,2270
17/05/2020,1739
18/05/2020,4181
19/05/2020,3710
20/05/2020,4052
21/05/2020,4103
22/05/2020,4132
23/05/2020,2416
24/05/2020,2002
25/05/2020,4788
26/05/2020,4423
27/05/2020,4566
28/05/2020,4310
29/05/2020,4468
30/05/2020,2822
31/05/2020,2199
01/06/2020,5453
02/06/2020,4837
03/06/2020,5073
04/06/2020,5013
05/06/2020,5159
06/06/2020,3149
07/06/2020,2468
08/06/2020,6291
09/06/2020,5873
10/06/2020,5826
11/06/2020,5471
12/06/2020,5744
13/06/2020,3231
14/06/2020,2702
15/06/2020,6690
16/06/2020,6476
17/06/2020,6180
18/06/2020,6146
19/06/2020,6162
20/06/2020,3736
21/06/2020,2610
22/06/2020,7014
23/06/2020,6617
24/06/2020,6369
25/06/2020,6342
26/06/2020,6618
27/06/2020,3779
28/06/2020,3065
29/06/2020,7563
30/06/2020,7229
01/07/2020,7696
02/07/2020,7100
03/07/2020,7121
04/07/2020,3760
05/07/2020,3103
06/07/2020,7883
07/07/2020,7927
08/07/2020,7453
09/07/2020,7059
10/07/2020,7221
11/07/2020,3927
12/07/2020,3278
13/07/2020,8927
14/07/2020,8463
15/07/2020,8864
16/07/2020,8266
17/07/2020,8050
18/07/2020,4453
19/07/2020,3501
20/07/2020,9133
21/07/2020,8660
22/07/2020,8304
23/07/2020,8097
24/07/2020,8029
25/07/2020,4211
26/07/2020,3070
27/07/2020,8527
28/07/2020,8202
29/07/2020,7674
30/07/2020,7576
31/07/2020,6739
01/08/2020,3834
02/08/2020,2563
03/08/2020,7537
04/08/2020,7393
05/08/2020,7179
06/08/2020,6678
07/08/2020,6630
08/08/2020,3682
09/08/2020,2442
10/08/2020,7271
11/08/2020,6881
12/08/2020,6501
13/08/2020,6456
14/08/2020,6219
15/08/2020,3255
16/08/2020,2340
17/08/2020,6903
18/08/2020,6732
