Mes_Año,Guerrero,CDMX,Oaxaca,Puebla
01/01/1980,4.6,,4.1,
01/02/1980,4.366666667,3.5,4.625,
01/03/1980,,,4.633333333,
01/04/1980,4.9,,,
01/05/1980,4.6,,,
01/06/1980,4.133333333,,4.633333333,
01/07/1980,3.8,,4.733333333,
01/08/1980,3.85,,4.95,
01/09/1980,4.75,,4.5,
01/10/1980,3.3,,3.525,4.85
01/11/1980,3.875,,4.525,4.15
01/12/1980,4.26,,4.3,
01/01/1981,4.5,,4.8,
01/02/1981,3.6,3.5,5,
01/03/1981,3.4,,5.2,
01/04/1981,4.05,,,
01/05/1981,3.9,,4.425,
01/06/1981,4.3,,4.65,
01/07/1981,,,4.955555556,
01/08/1981,5,2.7,,
01/09/1981,4.75,,,
01/10/1981,3.8,2.5,,
01/11/1981,4,,,
01/12/1981,4.2,1.6,,
01/01/1982,6.05,,,2.4
01/02/1982,2.55,,,
01/03/1982,,,,
01/04/1982,,,4.35,
01/05/1982,,,5.3,
01/06/1982,4.146666667,2.25,4.4,
01/07/1982,4,,4.133333333,
01/08/1982,4.85,,4.4,
01/09/1982,4.5,,4.25,
01/10/1982,3.814285714,,4.414285714,
01/11/1982,3.233333333,,4.2,
01/12/1982,4.366666667,,4.633333333,
01/01/1983,4.06,,4.816666667,
01/02/1983,4.68,,5.266666667,
01/03/1983,3,,4.6,
01/04/1983,3.7,,5.3,
01/05/1983,4.633333333,,5.5,
01/06/1983,3.5,,,
01/07/1983,4.55,,4.45,
01/08/1983,4.2,,,
01/09/1983,4.05,,4.1,
01/10/1983,,,4.166666667,
01/11/1983,,,,
01/12/1983,5.2,,,
01/01/1984,,,,
01/02/1984,4.4,,,
01/03/1984,,,,
01/04/1984,4.9,,3,
01/05/1984,3,,4.6,
01/06/1984,4,,4.7,5.4
01/07/1984,5.1,,4.4,
01/08/1984,4.333333333,,4.7,
01/09/1984,,,4.5,
01/10/1984,,,,
01/11/1984,,,4.583333333,
01/12/1984,,,4.583333333,
01/01/1985,4.65,,4.8,
01/02/1985,4.4,,4.64,
01/03/1985,4.225,,4.08,
01/04/1985,,,4.6,
01/05/1985,3.7,,4.575,
01/06/1985,4.233333333,,4.25,
01/07/1985,,,5.2,
01/08/1985,,,3.95,
01/09/1985,4.283333333,,5.4,
01/10/1985,4.5,,,
01/11/1985,,,,
01/12/1985,,,,
01/01/1986,4.033333333,2.533333333,,3.5
01/02/1986,5.7,,,
01/03/1986,4.45,,4.566666667,
01/04/1986,4.6,,5.25,
01/05/1986,,,,
01/06/1986,4.3,,4.15,
01/07/1986,,,4.4,
01/08/1986,,,,
01/09/1986,4.75,,4.75,
01/10/1986,3.6,,3.5,
01/11/1986,4.95,,4.25,
01/12/1986,,,3,
01/01/1987,3.25,,4.4,
01/02/1987,3.7,,3.72,
01/03/1987,,,,
01/04/1987,4.1,,4.4,
01/05/1987,,,4.8,
01/06/1987,,,,
01/07/1987,4.6,,4.92,
01/08/1987,,,4.275,
01/09/1987,,,,
01/10/1987,3.866666667,,3.533333333,
01/11/1987,,,,
01/12/1987,,,,
01/01/1988,4.085714286,,3.851219512,
01/02/1988,4.318181818,,3.835294118,4.05
01/03/1988,3.891666667,,3.804,
01/04/1988,3.957142857,,3.789795918,
01/05/1988,3.872222222,3.9,3.88,3.8
01/06/1988,4.04,,3.936363636,3.85
01/07/1988,4.04375,,4.119047619,3.9
01/08/1988,4.175,,4.145833333,
01/09/1988,4.392857143,,4.34,
01/10/1988,3.990909091,,4.004,3.933333333
01/11/1988,3.99,3.7,3.971428571,3.8
01/12/1988,4.052631579,,3.954545455,3.525
01/01/1989,3.836363636,,4.132258065,
01/02/1989,4.057894737,,4.158974359,
01/03/1989,4.159259259,,4.035294118,
01/04/1989,4.04,,3.933333333,
01/05/1989,3.956603774,,4.119354839,
01/06/1989,4.052,,4.186363636,
01/07/1989,3.876923077,,4.081818182,3.3
01/08/1989,4.157894737,,4.209090909,3.9
01/09/1989,3.925,3.8,4.027586207,3.6
01/10/1989,3.960714286,,4.145454545,3.75
01/11/1989,4.185714286,,4.3,
01/12/1989,3.996,,4.12173913,4.1
01/01/1990,4.203125,,4.074074074,
01/02/1990,4.121428571,3.5,4.424324324,
01/03/1990,3.892592593,3.2,4.18974359,
01/04/1990,4.034615385,3.3,4.00952381,3.7
01/05/1990,4.163636364,,4.176190476,3.9
01/06/1990,4.2,,3.94137931,
01/07/1990,4.1,,4.030769231,3.3
01/08/1990,4.054545455,,3.992307692,3.8
01/09/1990,4.116666667,,4.129411765,
01/10/1990,4.09375,,4.284615385,
01/11/1990,4.021428571,,4.212,
01/12/1990,3.85,,4.052941176,3.7
01/01/1991,4.028571429,,4.145454545,
01/02/1991,3.852380952,,4.096153846,3.9
01/03/1991,4.063636364,,4.032,
01/04/1991,4.16,,4.318181818,4.1
01/05/1991,4.175,,4,4.1
01/06/1991,4.107407407,,4.191666667,3.95
01/07/1991,4.3,,4.266666667,
01/08/1991,4.158333333,3.8,4.43,3.9
01/09/1991,3.936363636,,4.545454545,
01/10/1991,4.028571429,,4.15,
01/11/1991,4.0625,,4.2875,3.9
01/12/1991,4.045,,4.133333333,
01/01/1992,4.2625,,4.283333333,3.45
01/02/1992,4.057142857,,4.185714286,3.7
01/03/1992,4.285,,4.246666667,
01/04/1992,3.946666667,,4.181818182,3.8
01/05/1992,3.926666667,,4.1,
01/06/1992,4.088235294,,4.19,
01/07/1992,3.983333333,,4,
01/08/1992,4.064285714,,4.225,
01/09/1992,3.957894737,,4.092307692,
01/10/1992,3.977777778,,4.2,
01/11/1992,3.85,,4.246153846,3.7
01/12/1992,3.953333333,,4.1,
01/01/1993,3.866666667,,4.125,
01/02/1993,4.05,,4.2,
01/03/1993,3.935294118,,4.31,3.4
01/04/1993,3.884,,4.176470588,
01/05/1993,3.982608696,,4.4,3.9
01/06/1993,3.735483871,,4.171428571,3.633333333
01/07/1993,3.694736842,,4.290909091,
01/08/1993,4.04,3.3,4.169230769,3.5
01/09/1993,3.733333333,,4.514285714,
01/10/1993,4.005882353,,4.3,
01/11/1993,3.986956522,,4.45,
01/12/1993,3.824,,4.376470588,
01/01/1994,3.714285714,,4.14,3.9
01/02/1994,3.7875,3.8,4.388235294,
01/03/1994,3.644444444,,4.25,
01/04/1994,4.172727273,,4.090909091,
01/05/1994,3.87,,4.4,4.166666667
01/06/1994,3.872727273,,4.3,
01/07/1994,3.846666667,,4.514285714,3.9
01/08/1994,4.07,,4.465,
01/09/1994,4.082352941,,4.408333333,3.6
01/10/1994,3.990909091,,4.2,3.85
01/11/1994,3.78,,4.383333333,4.6
01/12/1994,4.1,,4.39,
01/01/1995,3.91,,4.2375,
01/02/1995,3.9,,4.185714286,
01/03/1995,3.588888889,,4.225,4.1
01/04/1995,4.208333333,,4.258333333,
01/05/1995,4.085714286,,4.266666667,
01/06/1995,3.933333333,,4.285714286,3.4
01/07/1995,3.65,,4.157142857,
01/08/1995,3.783333333,,4.333333333,
01/09/1995,4.067073171,,4.137142857,
01/10/1995,4.132352941,,4.125,
01/11/1995,4.121875,,4.1,
01/12/1995,4.103846154,2.9,4.2375,
01/01/1996,4,,4.285714286,3.8
01/02/1996,4.03,,4.432911392,3.433333333
01/03/1996,3.945,,4.423913043,
01/04/1996,4.148275862,,4.170588235,3.6
01/05/1996,3.546666667,,4.136842105,3.6
01/06/1996,3.916129032,,4.196153846,
01/07/1996,4.317647059,,4.342105263,3.8
01/08/1996,4.05,,4.091666667,
01/09/1996,4.177777778,3.2,4.170588235,3.966666667
01/10/1996,4.156521739,,4.228571429,3.6
01/11/1996,4,,4.1375,3.7
01/12/1996,4.0375,,4.20625,
01/01/1997,3.735294118,,4.142857143,3.2
01/02/1997,3.429032258,,4.122727273,4.1
01/03/1997,3.674468085,,4.206666667,3.6
01/04/1997,3.596153846,,4.15862069,3.833333333
01/05/1997,3.410204082,,4.184615385,3.8
01/06/1997,3.959090909,,4.15,3.1
01/07/1997,3.877777778,,4.13373494,3.5
01/08/1997,4.083333333,,4.288,
01/09/1997,4.020833333,3.4,4.126315789,3.6
01/10/1997,3.95,,4.192,3.54
01/11/1997,3.907142857,,4.12,3.5
01/12/1997,4.245454545,,4.016666667,3.8
01/01/1998,3.9,,3.915384615,4.1
01/02/1998,3.969230769,2.6,4.164583333,3.75
01/03/1998,3.907692308,,4.134090909,4.1
01/04/1998,3.764285714,,4.238888889,4
01/05/1998,4.176666667,,4.227777778,
01/06/1998,4.085714286,,3.958823529,
01/07/1998,4.045833333,,3.955555556,
01/08/1998,3.888888889,2.9,4.086956522,3.45
01/09/1998,3.778571429,2.75,3.887878788,3.85
01/10/1998,3.916666667,,3.869230769,3.85
01/11/1998,3.75,,4.005405405,3.8
01/12/1998,3.845,,4.125,3.9
01/01/1999,3.96875,2.7,4.052631579,3.525
01/02/1999,3.794736842,,3.942857143,
01/03/1999,3.775,,3.954285714,3.775
01/04/1999,3.667857143,2.8,3.918181818,3.4
01/05/1999,3.865384615,2.933333333,4.007692308,
01/06/1999,3.904,3.3,3.972222222,3.791304348
01/07/1999,3.876470588,3.6,4.085106383,3.633333333
01/08/1999,3.95,3.2,3.924,3.733333333
01/09/1999,3.913333333,,4.065625,3.65
01/10/1999,3.92,,3.935416667,
01/11/1999,4.033333333,,3.940625,3.55
01/12/1999,4.056521739,2.666666667,3.9,4.2
01/01/2000,3.838888889,,3.997368421,3.4
01/02/2000,3.736666667,,3.926666667,3.45
01/03/2000,3.981481481,,4.05,3.866666667
01/04/2000,3.936842105,2.6,4.026923077,3.5
01/05/2000,3.888888889,,4.1,
01/06/2000,3.823529412,,4.052,
01/07/2000,3.95625,3.4,4.019230769,5.1
01/08/2000,3.783333333,,3.919444444,3.3
01/09/2000,3.955555556,,4.13,
01/10/2000,3.821428571,2.9,3.917647059,
01/11/2000,3.966666667,,4.053333333,3.6
01/12/2000,3.88,,4.004347826,3.8
01/01/2001,4.021052632,,4.2,3.5
01/02/2001,4,,4.204545455,3.3
01/03/2001,4.325,,4.033333333,
01/04/2001,3.813333333,3.1,4.063157895,3.2
01/05/2001,3.918181818,,4.046153846,3.7
01/06/2001,3.833333333,,3.873076923,
01/07/2001,3.839130435,,3.914705882,3.8
01/08/2001,3.8,,3.996153846,
01/09/2001,3.947619048,2.9,4.019354839,3.8
01/10/2001,3.697802198,,4.070588235,
01/11/2001,3.667241379,,4.031372549,3.6
01/12/2001,3.603225806,,4.061538462,3.633333333
01/01/2002,3.681428571,,3.984375,3.5
01/02/2002,3.750684932,,3.925806452,
01/03/2002,3.749230769,,3.945833333,3.5
01/04/2002,3.932222222,,4.261111111,
01/05/2002,3.687058824,,3.943478261,3.4
01/06/2002,3.762,,4.08372093,
01/07/2002,3.634210526,,3.9875,3.6
01/08/2002,3.803614458,,4.048,3.416666667
01/09/2002,3.866666667,,4.017073171,3.8
01/10/2002,3.918666667,,4.118518519,
01/11/2002,3.933333333,,4.082352941,3.6
01/12/2002,3.773333333,,3.942857143,3.5
01/01/2003,3.712244898,3,3.8675,3.466666667
01/02/2003,3.682142857,,3.859090909,3.7
01/03/2003,3.6375,,3.920454545,3.5
01/04/2003,3.677419355,,3.885294118,3.766666667
01/05/2003,3.57804878,3.1,3.9375,3.6
01/06/2003,3.688095238,,3.954545455,
01/07/2003,3.585,,3.864705882,3.6
01/08/2003,3.628571429,,3.903703704,3.533333333
01/09/2003,3.83,2.9,4,
01/10/2003,3.747619048,,3.878571429,3.65
01/11/2003,3.830434783,3.383333333,4.054545455,
01/12/2003,3.66,,3.976,
01/01/2004,3.942105263,3.3,4.025714286,3.45
01/02/2004,3.688235294,,3.968292683,3.766666667
01/03/2004,3.777777778,,3.943478261,
01/04/2004,3.872222222,,3.960465116,3.75
01/05/2004,3.855,,3.990322581,
01/06/2004,3.88,,3.923404255,
01/07/2004,4.054545455,,3.819047619,4.1
01/08/2004,3.835714286,,4.039130435,3.733333333
01/09/2004,3.804347826,3.1,3.796153846,3.6
01/10/2004,3.871428571,,3.829545455,
01/11/2004,3.772727273,,3.969090909,
01/12/2004,3.840540541,3.25,4.011111111,
01/01/2005,3.809090909,,3.826923077,
01/02/2005,3.775,,3.884848485,
01/03/2005,3.776,,3.9,
01/04/2005,3.738709677,3.4,3.879310345,
01/05/2005,3.9,3.4,4.007692308,3.6
01/06/2005,3.818181818,,3.835714286,
01/07/2005,3.714285714,,3.890909091,3.7
01/08/2005,3.6525,3.4,3.872972973,3.4
01/09/2005,3.796666667,,3.896296296,5
01/10/2005,3.673684211,3.266666667,3.94,
01/11/2005,3.742105263,,3.94,
01/12/2005,3.780769231,,3.954545455,
